mb mstf msdf mstfidf
1	18485	20637	19551
6	39413	19556	19459
11	62767	19476	20406
16	77908	18528	21436
21	97694	19460	20427
26	111523	19578	20479
31	121119	20420	21461
36	137975	20477	22414
41	158014	21525	22532
46	169382	21454	22482
51	184415	22562	22434
56	211111	22431	23439
61	234938	21555	23480
66	244169	21437	24554
71	248127	21463	25429
76	259283	22624	24519
81	279495	23501	25369
86	291645	23560	25425
