mapps, reduces, mstf, msdf, mstfidf
5	1	57393	19421	21341
5	2	72608	20590	21511
5	8	68670	33839	35702
5	16	79975	48008	59195
25	1	61368	19411	20439
25	2	61556	21562	20434
25	8	69624	34558	33834
25	16	77875	50122	52059
250	1	60608	19497	21367
250	2	63101	20577	20533
250	8	71828	35593	35739
250	16	73767	49071	51022
